"GOID"	"Direction"	"TERM"	"ONTOLOGY"	"MeanPvalue"	"MeanFDR"	"NConditions"	"EnrichmentTest"
"GO:0030335"	"Up"	"positive regulation of cell migration"	"BP"	0.000927225009524655	0.0193331743365256	1	"cameraPR"
"GO:0030414"	"Up"	"peptidase inhibitor activity"	"MF"	6.20781378473677e-05	0.00425173882495633	10	"cameraPR"
"GO:0030545"	"Up"	"receptor regulator activity"	"MF"	0.000251666676744042	0.01438909481004	7	"cameraPR"
"GO:0030546"	"Up"	"signaling receptor activator activity"	"MF"	0.000199151331797452	0.0123633408616389	7	"cameraPR"
"GO:0030574"	"Up"	"collagen catabolic process"	"BP"	0.000181025716854151	0.0193055621973851	1	"cameraPR"
"GO:0030593"	"Up"	"neutrophil chemotaxis"	"BP"	0.000246224556808361	0.0120008225465356	3	"cameraPR"
"GO:0030595"	"Up"	"leukocyte chemotaxis"	"BP"	2.94018866500484e-05	0.00199222672143641	2	"cameraPR"
"GO:0030684"	"Up"	"preribosome"	"CC"	0.000276014478120563	0.0400552210648562	1	"cameraPR"
"GO:0030687"	"Up"	"preribosome, large subunit precursor"	"CC"	0.000221335437045513	0.0365002257091419	1	"cameraPR"
"GO:0030964"	"Up"	"NADH dehydrogenase complex"	"CC"	0.000122674111120956	0.015377630629185	5	"cameraPR"
"GO:0031012"	"Up"	"extracellular matrix"	"CC"	4.21424663179172e-05	0.00455633381431679	8	"cameraPR"
"GO:0031674"	"Up"	"I band"	"CC"	0.00022369198775129	0.0108144921793858	4	"cameraPR"
"GO:0031935"	"Up"	"regulation of chromatin silencing"	"BP"	0.000531878562619512	0.0295622713542855	1	"cameraPR"
"GO:0031936"	"Up"	"negative regulation of chromatin silencing"	"BP"	0.00126787301281077	0.0474210648502831	1	"cameraPR"
"GO:0032496"	"Up"	"response to lipopolysaccharide"	"BP"	0.000173942999257395	0.00685940436201989	1	"cameraPR"
"GO:0032504"	"Up"	"multicellular organism reproduction"	"BP"	3.34582001783741e-05	0.00357443188074035	3	"cameraPR"
"GO:0032943"	"Up"	"mononuclear cell proliferation"	"BP"	0.000288910544435001	0.0109671640210041	2	"cameraPR"
"GO:0032944"	"Up"	"regulation of mononuclear cell proliferation"	"BP"	0.000441453518515204	0.015486951717459	2	"cameraPR"
"GO:0032945"	"Up"	"negative regulation of mononuclear cell proliferation"	"BP"	0.000451180102589417	0.0120358927367236	1	"cameraPR"
"GO:0033293"	"Up"	"monocarboxylic acid binding"	"MF"	7.98798029727132e-05	0.0150595636427725	2	"cameraPR"
